"","course_name","10331136","10333107","10335140","10342175","10345114","10345230","10345239","10351133","10411129","10411133","10411139","10411143","10411145","10411271","10412113","10412139","10412141","10412239","10412245","10413236","10413240","10415120","10421101","10421331","10421353","10421370","10422325","10423315","10424105","10424139","10424228","10424249","10425136","10425203","10425247","10426109","10426127","10426220","10426240","10426322","10426325","10426333","10426348","10427102","10427105","10427107","10427111","10427119","10427122","10427125","10427126","10427128","10427130","10427131","10427134","10427135","10427136","10427142","10427145","10427148","10427149","10427172","10427202","10427203","10427205","10427206","10427213","10427220","10427221","10427222","10427235","10427236","10427240","10427248","10427249","10427250","10427272","10427273","10428114","10428134","10428139","10428203","10428227","10431170","10431180","10432117","10432170","10432189","10433114","10433118","10433151","10435105","10435111","10435128","10435132","10435135","10435147","10441105","10441221","10441223","10441228","10441251","10441301","10441370","10442126","10442129","10442240","10443115","10443135","10443145","10443151","10443208","10443229","10443248","10443327","10443343","10443344","10444131","10444146","10444225","10444243","10445113","10445243","10445257","10447148","10447243","10451122","10451132","10452143","10452144","10452218","10452238","10511231","10512123","10512131","10512211","10513138","10513153","10513228","10513234","10513251","10514105","10514128","10514136","10514213","10514230","10514276","10515110","10515213","10515221","10515236","10521142","10521347","10522105","10522113","10522133","10522143","10522248","10522324","10523114","10523117","10523126","10523149","10523207","10523214","10523322","10524115","10524223","10524242","10524308","10525106","10525134","10525143","10526115","10526218","10526247","10526303","10527114","10527118","10527123","10527134","10527136","10527144","10527207","10527212","10527224","10527247","10528141","10528228","10531123","10532121","10532170","10532217","10535115","10541102","10541213","10541240","10541345","10541377","10541401","10541480","10541490","10542105","10542141","10542224","10543148","10543250","10543319","10543322","10543324","10543353","10544146","10544202","10545111","10545129","10545211","10545220","10545235","10545251","10547211","10547237","10547249","10551149","10557209","year"
"1","電腦應用概論(一B)",85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,74,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"2","建築設計 (一)",72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69,81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"3","建築概論",78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"4","建築數學",91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"5","建築基礎(一)",64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"6","文學經典閱讀",80,81,48,82,95,60,72,88,79,84,91,72,87,74,75,82,79,87,63,79,80,78,75,85,86,90,85,62,78,66,80,75,60,78,67,84,71,89,82,85,79,78,68,76,78,77,76,75,68,73,81,77,75,63,75,74,80,72,75,75,73,68,83,79,97,86,93,87,99,73,98,81,82,84,91,79,85,93,-1,-1,-1,-1,-1,82,80,70,91,82,83,80,81,65,80,74,80,68,84,82,83,82,81,81,82,76,74,83,70,87,78,89,73,75,89,73,76,76,75,81,77,80,82,80,83,60,61,73,82,74,69,76,84,84,85,81,74,65,86,82,85,81,71,93,90,89,84,61,80,84,85,78,19,82,87,97,71,82,91,82,86,68,78,72,74,65,67,85,70,89,72,84,61,74,60,68,81,78,84,60,80,70,80,72,70,90,82,72,76,-1,-1,79,78,87,90,75,89,90,84,79,77,76,76,71,70,76,80,83,90,86,85,76,60,63,94,89,83,83,95,89,60,85,80,79,82,87,1051
"7","素描一B",78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,74,81,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,-1,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"8","英文(一)",85,84,78,71,91,60,83,83,64,72,86,65,70,68,61,61,63,65,71,81,64,79,86,81,84,85,88,75,76,63,85,71,65,72,76,66,78,85,69,75,67,84,67,82,80,85,74,60,60,62,87,83,80,81,78,72,78,70,77,92,72,62,73,73,84,76,71,86,74,67,88,87,86,79,87,72,68,60,77,67,87,82,84,76,72,66,87,62,88,77,87,69,76,84,88,84,92,75,57,87,86,81,82,45,67,74,81,78,60,77,62,73,85,84,81,80,90,70,67,77,78,80,83,-1,80,75,81,79,68,68,83,80,74,83,84,78,84,81,95,77,63,90,81,86,90,65,79,70,78,95,24,68,84,68,70,60,89,78,64,86,65,77,60,73,87,52,60,54,62,75,68,68,61,60,60,63,81,74,-1,87,84,81,74,86,73,74,86,74,86,86,82,65,80,73,96,86,71,67,44,73,51,67,88,77,81,81,82,71,78,80,60,88,92,86,84,87,90,85,72,83,72,74,69,80,1051
"9","英語聽講(一)",72,75,65,40,84,72,73,85,86,86,88,89,77,77,86,80,84,88,74,60,66,78,72,74,73,89,92,80,63,60,92,75,62,63,72,78,67,84,80,75,72,89,82,86,80,88,79,64,73,76,83,84,78,69,80,85,90,88,82,88,77,70,81,70,85,66,81,88,73,74,91,82,77,70,77,60,69,76,84,77,88,82,77,87,71,80,80,73,71,72,85,75,81,77,81,77,80,76,64,84,89,79,81,81,80,82,67,60,73,68,76,73,92,79,88,95,85,80,73,71,86,93,83,-1,90,90,82,70,66,79,77,80,86,76,61,67,85,68,80,85,70,84,83,68,89,71,89,51,80,78,54,64,88,72,88,72,92,84,60,76,89,79,62,73,81,73,83,78,69,67,77,80,67,66,60,63,84,73,-1,82,86,76,85,73,80,84,91,81,85,80,95,84,82,71,98,79,65,77,63,52,60,71,78,86,65,84,67,75,73,68,-1,75,90,79,91,94,93,92,70,83,73,70,57,77,1051
